,Hebrew src,English Reference,English Translation,Score
0,גרד לו בגב,His back itches,Scratching his back,0.3967088290836577
1,גרד לי בגב,My back itch,Scratching my back,0.35412968165085734
2,גרד לי בגב,My back itched,Scratching my back,0.35412968165085734
3,גרד למירב בגב,Meirav's back itched,Scratching most of the back,0.2147607499133801
4,גרד למירב בגב,Meirav's back itches,Scratching most of the back,0.2147607499133801
5,גרד לו בגב,His back itched,Scratching his back,0.3967088290836577
6,גרד לאישה בגב,The woman's back itches,Itching for a woman in the back,0.35006083082031114
7,גרד לעמרי בגב,Omry's back itched,Scratching Omri in the back,0.24010981785257504
8,גרד לה בגב,Her back itches,Scratch her back,0.48293752453528854
9,גרד לילד בגב,The child's back itches,Itching for a child in the back,0.35006083082031114
10,גרד לה בגב,Her back itched,Scratch her back,0.48293752453528854
11,גרד לעמרי בגב,Omry's back itches,Scratching Omri in the back,0.24010981785257504
12,גרד לאישה בגב,The woman's back itched,Itching for a woman in the back,0.35006083082031114
13,גרד לילד בגב,The child's back itched,Itching for a child in the back,0.35006083082031114
