גרד #_1_למישהו בגב,#_1_someone's back #_1_itched,
ההורים #_1_שלמישהו קוראים #_1_לו סיפור לפני השינה,#_1_someone's parents read #_1_him a bedtime story,
#_1_מישהו #_1_השתגע כי #_1_הוא #_1_היה כל הלילה במקלט,#_1_someone #_1_got crazy cause #_1_he #_1_was in the shelter all night,
#_1_היה+אין #_1_למישהו כוח היום ללמוד,#_1_someone #_1_didn't feel like studying today,
#_1_למישהו לא #_1_היה+יהיה אכפת מה #_2_מישהו #_2_אמר,#_1_someone #_1_didn't care about what #_2_someone #_2_said,
לא אכפת #_1_למישהו,#_1_someone #_1_didn't care,
לא #_1_התחשק #_1_למישהו לאכול,#_1_someone #_1_didn't feel like eating,
#_1_מישהו #_1_הצליח בחיים בזכות כוח הרצון של ההורים #_1_שלו,#_1_someone #_1_succeeded in life thanks to #_1_his parents power,
#_1_מישהו #_1_הצליח בחיים בזכות כוח הרצון #_1_שלו,#_1_someone #_1_succeeded in life thanks to #_1_his will power,
הגיע #_1_למישהו כי #_1_הוא #_1_התנהג לא יפה,#_1_someone deserved it because #_1_he #_1_didn't behave well,
#_1_מישהו #_1_האמין #_2_למישהו,#_1_someone #_1_believed #_2_someone+obj,
#_1_מישהו #_1_האמין ב#_2_יובל+מושא,#_1_someone #_1_believed in #_2_Yuval+obj,
#_1_מישהו #_1_נָטָה להפגע בקלות,#_1_someone #_1_tended to get hurt easily,
הטלפון הלך #_1_למישהו לאיבוד,#_1_someone's phone got lost,
#_1_הוא #_1_פזם #_2_למישהו שיר,#_1_he #_1_sang a song to #_2_someone+obj,
#_1_הוא #_1_פזם #_1_לעצמו שיר,#_1_he #_1_sang #_1_himself a song,
הם קוראים #_1_לו #_1_יובל+מושא,they call #_1_him #_1_Yuval+obj,
מגרד #_1_למישהו הגב,#_1_someone's back itches,
#_1_הוא #_1_אכל מצלחת#_2_ו,#_1_he #_1_ate from #_2_his plate,
#_1_מישהו #_1_אכל #_2_למישהו מהצלחת,#_1_someone #_1_ate from #_2_someone's plate,
#_1_מישהו #_1_קרא #_2_לו סיפור לפני השינה,#_1_someone #_1_read #_2_him a bedtime story,
קוראים #_1_לו סיפור,They are reading #_1_him a story,
קוראים #_1_למישהו למטה,They are calling #_1_someone+obj downstairs,
קוראים #_1_לו למטה,They are calling #_1_him downstairs,
קוראים #_1_לו #_1_יובל+מושא,#_1_his name is #_1_Yuval+obj,
#_1_מישהו #_1_הקריא לי סיפור,#_1_someone #_1_read me a story,
#_1_מישהו #_1_צברח,#_1_someone #_1_was upset,
#_1_היה+אין #_1_למישהו מצב רוח,#_1_someone #_1_is not in the mood,
#_1_מישהו #_1_הלך לבית ספר,#_1_someone #_1_went to school,
#_1_מישהו לא #_1_חשב על העתיד,#_1_someone #_1_didn't think about the future,
#_1_מישהו לא #_1_רצה לדבר אית#_2_ו,#_1_someone #_1_didn't want to talk to #_2_him,
לא שנה #_1_למישהו כלום,#_1_someone #_1_didn't care about anything,
תעשה מקום ל#_1_מירב+מושא הבת #_2_שלו,"make room to #_1_Meirav+obj, #_2_his daughter",
#_1_מישהו #_1_רָצָה לדבר #_2_עם+מישהו,#_1_someone #_1_wanted to talk to #_2_someone+obj,
#_1_מישהו #_1_הֵכִין #_1_לעצמו חביתה,#_1_someone #_1_made #_1_himself an omlete,
